txn Hash,Method,Block,Age,Sender,Receiver,Value,Txn Fee
0x463e5ddf7d3bd346baf6ceaa97b572ba0db4adc814f2169bd345dc9de2413455,Transfer,19398343,7 secs ago,0x99F01f99...0B756808b,0x01743476...c6259F667,0.044712137,0.00150066
0xe32ca3587636ab289f4bce7aabd52eb604c2fa9d684de370d16f3dbeb47d5b51,Transfer,19398343,7 secs ago,0xd31f5737...D1272B96B,0xEbE58498...029d8E90a,0.51,0.00150066
0xe8ba6bd5aaead0029a14f114fc9ab31aad0a7fbc95e35b54625f771ffe09ffcc,Transfer,19398343,7 secs ago,0x73A0b59A...3e21682b7,Blast: L1 Bridge Proxy,0.33,0.01080511
0xc0f087743dda9ae2ade95df685c2867d00c5fa73670c1cc338914aa667e8933d,Transfer,19398343,7 secs ago,0xb3e4eee9...aC8C62bB1,0xb3e4eee9...aC8C62bB1,0.0,0.00150066
0x395ca4f4335cdbc0505bc8f294d2b9790b57538f6b0e2804d17bcbe78509a699,Transfer,19398343,7 secs ago,0x48Ef51F4...C1766A204,0x5Dbcb23d...1555c65b0,0.53,0.00151288
0x02ecbbd85e733a5cef2ddde63b1cb21cd540130eb7037d5ce172b76c78f5d05c,Transfer,19398343,7 secs ago,0x11Cc526F...6BF2Af10C,0x725EBDF6...5E427d279,3.899116709,0.00151549
0xf38eec57628faa87dd90cc68dd0ceb9a51b1dd59475231d7a733f5d57a478718,Transfer,19398343,7 secs ago,0x4c9AF439...a6b2803A8,0x85d0B3eB...4E48Df385,0.151341,0.00151948
0xf76fbd3f52bc592837fdf8c9bb5e2dedc4aed3dc7f7da3b60274297c81267867,Transfer,19398343,7 secs ago,0x808d0aeE...8c9cCDBA4,0xe67c3517...D3b75Afc9,0.004034609,0.00154048
0x34b5e1f550308d929799abe9ba51865da5b09bff1b73dbc12402790c38054937,Transfer,19398343,7 secs ago,0x92cB489D...3214B511F,0x808d0aeE...8c9cCDBA4,0.218459512,0.00154048
0xe1c7f91859c92cd180b830c21405c8360f14064cb4b0b44dbab1dad01d2c0708,Transfer,19398343,7 secs ago,Binance 17,0x430f744f...8aE861510,0.0090874,0.00154048
0x2d60d2caa7caeb97a76070d07c735a985b760c98530588c1a0c1a569f0d86417,Transfer,19398343,7 secs ago,0xCf56a167...C6E79f947,0x0Af8eA82...81Fa3E00c,0.051008,0.00154048
0xe0b14361855f82d8bd8c7777ebfe1c27a1633504d7408da4c26d2dad408288bd,Transfer,19398343,7 secs ago,0x87339f5D...076e33D94,0x81D1550d...b6e1C5616,0.25295403,0.00154048
0x7e36a577351cf6f99055ae98630fab6c0fde60931712c01e4a3a979b9387475f,Transfer,19398343,7 secs ago,Binance 20,0x98529C93...d781CfF7a,0.06499098,0.00154048
0xe48e42faa65cbd925f12732cd2757d92a6a8818916b88ffe168db37cd8abe719,Transfer,19398343,7 secs ago,Binance 18,0x618041Cd...7089C180A,1.00549,0.00154048
0x4c89e6d7b3a76388c81f85bb621b6f2ae2892a87314dd64d06639071b1d86963,Transfer,19398343,7 secs ago,0xafCaAF98...86acec62c,0x21F815e3...9ba0C06F8,0.911093487,0.00154048
0x69a52db55429dd1f51546d8bcaca7630dc0808db86a0e9a2f395d6b6dc8cf28c,Transfer,19398343,7 secs ago,0x1AB4973a...7688f8F23,0x6E89876A...439bbe2E9,0.008212571,0.00154219
0xa54daa966578a231ec563f98a50130f62238797c9c6c753b805d733c56c5bc2e,Transfer,19398343,7 secs ago,0xa03400E0...419517687,0x46a04d43...8320262eD,36.49,0.00270283
0x7ac199b8d2d789002838854ae8606b4d2b361bde3e11d54a3fc5330cf039c8cc,Transfer,19398343,7 secs ago,0xb23360CC...9C8D7c460,0xDCc85810...57E486895,0.02,0.00156152
0xb225a98524fffc8027dc55247f8d5c85b448a3ebf2693b517638ba9886ef1d68,Execute,19398345,16 secs ago,0x94A58970...84934A021,Uniswap: Universal Router,0.065,0.01210216
0x1ebb07e062c34140766dfea1843abb5eb898e90d4d728bd4b82f2c486e4bb9db,Approve,19398345,16 secs ago,0xFf61862C...A104B52bE,Compound: COMP Token,0.0,0.00364766
0x684ae9e8adf56d6616e599f53a9ed07681c44e58ee4ec3d0edbf5b987318ecee,Execute,19398345,16 secs ago,0xA719df87...FA0bF8055,Uniswap: Universal Router,1.5,0.0113899
0xb29b53e50a6779e640d3802c1ee4a191300c9323b1c81b43c50443878814b705,Transfer,19398345,16 secs ago,0x0757f3B7...e0BD777Da,Circle: USDC Token,0.0,0.00447374
0x5e1ac9e65bf3f1a690f7df4009a5540c6da61544fbd52cd2e6750c9c75f1c49f,Set Approval For...,19398345,16 secs ago,0xa153794D...f328e0C9C,0x0BaECcD6...9bF7A3B1c,0.0,0.00359822
0x0472b5f4eab80a1c6bf65dc90115246f00c922fee625325d777fa3b01670b724,Execute,19398345,16 secs ago,0xd9655eB8...18b4Cb78A,Uniswap: Universal Router,0.027,0.01828449
0x98f0258729e3656170882796bcc31d3dfa7c8979dfff93f834669411cb80914d,Transfer,19398345,16 secs ago,0xA22e75CA...9FC77FA91,0xC34818d3...88e10EE7e,0.2,0.00163509
0xb711e00ab0721ad1914c3648c7308b1fe143d1fa9cb87ea0b7a343a4667826a8,Transfer,19398345,16 secs ago,0xFecf8141...7fb971604,0x01743476...c6259F667,0.042780016,0.00163509
0xe79b260d31a3ff15f9426fe38e38c982dde2f0366f5baddc88196a6564bc0607,Approve,19398345,16 secs ago,0x37cCf34e...1A9176152,Defender Bot: DFNDR Token,0.0,0.00362398
0x32ca382b25261f7b53601c49f991e24366a792c1ce665ad3845823616a3a33d7,Execute,19398345,16 secs ago,duygusal.eth,Uniswap: Universal Router,3.0,0.00986902
0x654ca0ee9401308a27f8d8b1e3fe829eae6107217c51ec6287c2eab4b5b45483,Execute,19398345,16 secs ago,0xBf83Af90...2d3D7f87f,Uniswap: Universal Router,0.0,0.01312067
0xeb0bf37a1c09daf4dca63be47ca1072e41421a911afb8ba86e6e0807102e80e3,Execute,19398345,16 secs ago,0x98529C93...d781CfF7a,Uniswap: Universal Router,0.0,0.02149265
0x0d60faca4237ca04e103e594345062447b78a892802c10ef975c8b90ea6c3d9a,Multicall,19398345,16 secs ago,0x40aA0292...D8f060b02,Uniswap V3: Positions NFT,0.0,0.01908447
0x45814c27870e58f07d560af8782b19d68127a649031cac534944ef0f0af92bb3,Transfer,19398345,16 secs ago,0xc0589280...298DcA287,0x3beCC011...df24De880,0.125,0.00163509
0xdac67134ff8db80bfa165e10c87b0e6489f6bdae4ee98b2982cd453580ac9917,Execute,19398345,16 secs ago,0x61b4348e...B68F348d6,Uniswap: Universal Router,0.0,0.01347229
0x430b116075bd7cff3068ddd59b42163f34e1ff555c68820d103ffb8410c03745,Withdraw,19398345,16 secs ago,0x9E23048f...dFf341646,0x17cdb2FB...C64911d2a,0.0,0.00610909
0x7aa4a07e5a16f3b79b44ea08d0da984a3f26591a3f789e9279f32885b33e14a1,Approve,19398345,16 secs ago,0x6dd15976...738418788,Circle: USDC Token,0.0,0.00435292
0x23ab0b2258f3971ac14d538a6e4dd4f023bdbade1a7c03eb3791828889c09b0c,Transfer,19398345,16 secs ago,0x8301F4f0...C06F76592,0xD0A4479c...712dE59a2,0.000567419,0.00163509
0x20b5f3ac6eea275d00f2d651b3bb0a1392a81f769b74080c5bd1169bf8caf62b,Wrap And Relay T...,19398345,16 secs ago,0x0721655D...9b8Ef03C3,PulseChain: WETH Omnibridge Router,0.0878,0.01547411
0x8dcca2d74c7a7bdcd0bf1787c15756f3703b989566844f0537c349ee4a632c43,0x48de12a1,19398345,16 secs ago,0x0659e20a...18f6a6dDa,0xC4b1f065...fe0E48D9e,0.0,0.00853891
0x1cb8845c6a40fc5495b0be22e16bff2f6a039d82662511c53c6d936b2dd6ce78,Approve,19398345,16 secs ago,0xeA1E3946...c24bC7a66,Maker: Dai Stablecoin,0.0,0.00361261
0x902b4ac940b597963410429764ea9b12ff703b6c5944f5dc0df63a532d14d339,Deposit,19398345,16 secs ago,0xb6DB17A6...0af4f479a,0x27ad26E1...0be716440,1.3,0.01225789
